AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|Q|GALAPAGOS|SANTA CRUZ|25968,0200|54400,4500|0,0000|0,0000|0,0000|46046,7700|7565,4600|0,0000|293,8100|54439,0900|80368,4700
2025|1|P|TUNGURAHUA|TISALEO|5,2200|268,0100|0,0000|0,0000|0,0000|3687,8900|159,1300|0,0000|0,0000|3847,0200|273,2300
2025|1|I|GALAPAGOS|SANTA CRUZ|1262901,6500|1131027,4900|66529,3900|0,0000|1100,7300|844928,0400|692017,6000|0,0000|88647,9900|1630209,6100|2461559,2600
2025|1|P|ESMERALDAS|QUININDE|4755,3400|163271,3400|0,0000|0,0000|0,0000|15139,1700|17056,4200|0,0000|1498,5000|33694,0900|168026,6800
2025|1|N|GUAYAS|MILAGRO|599827,4800|111500,1500|0,0000|0,0000|0,0000|554018,6700|49084,5500|0,0000|1745,5000|605562,2600|711327,6300
2025|1|C|AZUAY|CAMILO PONCE ENRIQUEZ|340279,6500|168698,7700|0,0000|0,0000|0,0000|258834,3800|67145,7400|15970,0000|4127,5900|350748,6900|508978,4200
2025|1|I|SUCUMBIOS|PUTUMAYO|143126,5600|6673,0000|0,0000|0,0000|0,0000|101046,9900|55410,8200|0,0000|6245,0000|164018,0600|149799,5600
2025|1|N|PICHINCHA|RUMIÑAHUI|715505,8400|121062,0100|0,0000|1020,0000|0,0000|411288,0200|203200,5300|334,1300|24426,6100|640837,6000|837587,8500
2025|1|B|BOLIVAR|SAN MIGUEL|0,0000|0,0000|0,0000|84481,5500|0,0000|938,2500|0,0000|0,0000|0,0000|1305,9700|84481,5500
2025|1|F|MORONA SANTIAGO|LOGROÑO|21285,2000|0,0000|0,0000|0,0000|0,0000|15236,1900|6226,4500|0,0000|0,0000|21641,3000|21285,2000
