AÑO;MES;CODIGO_SECTOR_N1;PROVINCIA;CANTON;VENTAS_NETAS_TARIFA_GRAVADA;VENTAS_NETAS_TARIFA_0;VENTAS_NETAS_TARIFA_VARIABLE;VENTAS_NETAS_TARIFA_5;EXPORTACIONES;COMPRAS_NETAS_TARIFA_GRAVADA;COMPRAS_NETAS_TARIFA_0;IMPORTACIONES;COMPRAS_RISE;TOTAL_COMPRAS;TOTAL_VENTAS
2025;1;A;MANABI;SUCRE;63328,94;2762652,86;0;0;0;329988,79;1953134,66;0;108790,47;2404198,05;2825981,8
2025;1;M;ORELLANA;LA JOYA DE LOS SACHAS;253454,53;50681,94;0;37,62;1000;206729,45;86849,19;0;26190,45;329948,42;305174,09
2025;1;P;LOS RIOS;URDANETA;0;19148,69;0;0;0;2001,06;6104,63;0;0;8105,69;19148,69
2025;1;H;MANABI;JUNIN;54917,31;24408,51;0;40867,8;0;70933,43;10376,85;0;1522;91772,2;120193,62
2025;1;F;NAPO;EL CHACO;39485,37;1187,21;0;606,69;0;84098,45;7266,34;77,1;1435,5;100732,77;41279,27
2025;1;J;COTOPAXI;PUJILI;57552,81;3366,48;0;0;0;71607,73;6508,83;0;0;78116,56;60919,29
2025;1;P;NAPO;ARCHIDONA;969,79;0;0;0;0;5860,01;174,31;0;8551,75;14586,07;969,79
2025;1;R;EL ORO;ZARUMA;0;0;0;0;0;227,66;0;0;0;227,66;0
2025;1;N;ZAMORA CHINCHIPE;CHINCHIPE;13919,11;9195,4;0;0;0;6935,2;465,93;2345,78;0;9746,91;23114,51
2025;1;S;LOS RIOS;BUENA FE;89913,56;866725,99;0;0;0;76866,49;42026,98;160340,47;2010;282149,75;956639,55
2025;1;L;ORELLANA;ORELLANA;363912,65;172823,36;0;28498,72;0;559042,54;84732,67;3285,87;10449,65;661804,14;565234,73
2025;1;H;MANABI;SANTA ANA;61116,32;57618,74;0;0;0;73559,18;48153,12;5421,35;0;127133,65;118735,06
2025;1;J;EL ORO;PASAJE;182922,53;5454,6;0;0;0;124581,12;3232,33;0;3081,98;130895,43;188377,13
